user_id,POI_id,POI_catid,POI_catname,latitude,longitude,timezone,UTC_time,trajectory_id,time_period
1,3fd66200f964a520e9e61ee3,4bf58dd8d48988d147941735,Diner,40.7337627,-74.006264,-240,Fri Apr 20 01:49:26 +0000 2012,1_2012-04-19,0.9027777777777778
1,428d2880f964a520b5231fe3,4bf58dd8d48988d1fa931735,Hotel,40.75673069,-73.97406975,-240,Sat Apr 14 17:45:23 +0000 2012,1_2012-04-14,0.5694444444444444
1,4e742aabc65bb91db3cadb79,4bf58dd8d48988d116941735,Bar,40.75730502,-73.96864019,-240,Sat Apr 14 22:07:43 +0000 2012,1_2012-04-14,0.75
1,3fd66200f964a520fbe71ee3,4bf58dd8d48988d16c941735,Burger Joint,40.75881855,-73.9686574,-240,Sat Apr 14 23:15:07 +0000 2012,1_2012-04-14,0.7986111111111112
1,3fd66200f964a520fbe71ee3,4bf58dd8d48988d16c941735,Burger Joint,40.75881855,-73.9686574,-240,Sat Apr 14 23:15:50 +0000 2012,1_2012-04-14,0.7986111111111112
1,49d2b43ef964a520cb5b1fe3,4bf58dd8d48988d1e0931735,Coffee Shop,40.720087,-74.003961,-240,Thu Apr 19 19:02:25 +0000 2012,1_2012-04-19,0.625
1,4aab0204f964a520855820e3,4bf58dd8d48988d14e941735,American Restaurant,40.74131916,-74.00611595,-240,Thu Apr 19 22:51:19 +0000 2012,1_2012-04-19,0.7847222222222222
2,4e56dcb252b1d8d4e3115217,4f2a25ac4b909258e854f55f,Neighborhood,40.61740978,-73.95989862,-240,Fri Jul 06 14:10:22 +0000 2012,2_2012-07-06,0.4236111111111111
2,4bdb71243904a593177b4a9e,4bf58dd8d48988d1f9931735,Road,40.75789583,-73.97765279,-240,Fri Jul 06 17:56:46 +0000 2012,2_2012-07-06,0.5763888888888888
2,4ad3d174f964a5207be620e3,4bf58dd8d48988d1e0931735,Coffee Shop,40.73887144,-73.98297137,-240,Fri Jul 06 18:18:35 +0000 2012,2_2012-07-06,0.5902777777777778
2,4cbfbedea0c4f04d1e085731,4bf58dd8d48988d1fd931735,Subway,40.73977054,-74.00258124,-240,Fri May 04 12:27:53 +0000 2012,2_2012-05-04,0.3472222222222222
2,44d9e8dbf964a5208a361fe3,4bf58dd8d48988d1f5941735,Food & Drink Shop,40.72413519,-73.99778927,-240,Fri May 04 16:02:23 +0000 2012,2_2012-05-04,0.5
2,4a9efc7af964a520103c20e3,4bf58dd8d48988d1e0931735,Coffee Shop,40.66144182,-73.84009838,-240,Fri May 04 19:59:06 +0000 2012,2_2012-05-04,0.6597222222222222
